City,Country,lat,lon,numberoffacilities,Source
Utrecht,Netherlands,52.086,5.1127,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Vlissingen,Netherlands,51.44418,3.57295,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Zwolle,Netherlands,52.54429,6.09052,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Bergen,Norway,60.3954,5.33062,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Oslo,Norway,59.920979,10.753526,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Porto,Portugal,41.149,-8.61,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Lisbon,Portugal,38.716311,-9.142432,2,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Badalona,Spain,41.450142,2.24742,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Barcelona,Spain,41.3825,2.1769,9,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Bilbao,Spain,43.2569,-2.9236,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Lleida,Spain,41.61898,0.6201,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Reus,Spain,41.14994,1.10571,2,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Sant Adrià de Besòs,Spain,41.430599,2.21824,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Tarragona,Spain,41.1186,1.24047,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Saskatoon,Canada,52.134614,-106.661,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-4
Montreal,Canada,45.51538,-73.6055,4,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-5
Greater Sudbury,Canada,46.489,-80.992,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-6
Guelph,Canada,43.545,-80.2501,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-7
Hamilton,Canada,43.2483,-79.8568,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-8
Kingston,Canada,44.2316,-76.48499,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-9
Kitchener,Canada,43.4509,-80.4931,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-10
London,Canada,42.9836,-81.246,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-11
Ottawa,Canada,45.4213,-75.699,4,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-12
Peterborough,Canada,44.3043,-78.32,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-13
St. Catharines,Canada,43.1573,-79.2455,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-14
Thunder Bay,Canada,48.4023,-89.2436,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-15
Toronto,Canada,43.6471,-79.3832,11,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-16
Surrey,Canada,49.1877,-122.8469,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-17
Vancouver,Canada,49.2813,-123.1195,3,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-18
Victoria,Canada,48.4263,-123.3691,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-19
Calgary,Canada,51.04577,-114.0681,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-20
Edmonton,Canada,53.54258,-113.4963,3,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-21
Grande Prairie,Canada,55.1706,-118.7943,1,https://www.canada.ca/en/health-canada/services/substance-use/supervised-consumption-sites/status-application.html#wb-auto-22
